pop_fit_avg,pop_fit_var,pop_fit_max,pop_fit_min,pop_opt_avg,pop_opt_var,pop_opt_max,pop_opt_min,pnt_fit_avg,pnt_fit_var,pnt_fit_max,pnt_fit_min,pnt_opt_avg,pnt_opt_var,pnt_opt_max,pnt_opt_min,gen,pop_uni_obj,com_sol_cnt,ele_agg_per,ele_opt_cnt,com_agg_per,com_opt_cnt,opt_agg_per,opt_obj_cnt,los_div,sel_pre,sel_var
7.72595,10.6465,19.8054,0.947424,0,0,0,0,7.72595,10.6465,19.8054,0.947424,0,0,0,0,29,0,1,19.8054,0,19.8054,0,19.8054,0,1,-8.34243e-17,1
7.95595,11.0489,19.8054,1.12384,0,0,0,0,7.95595,11.0489,19.8054,1.12384,0,0,0,0,30,0,1,19.8054,0,19.8054,0,19.8054,0,1,8.03865e-17,1
8.2082,11.4999,19.8054,1.12384,0,0,0,0,8.2082,11.4999,19.8054,1.12384,0,0,0,0,31,0,1,19.8054,0,19.8054,0,19.8054,0,1,0,1
8.46746,11.6566,21.1053,1.12384,0,0,0,0,8.46746,11.6566,21.1053,1.12384,0,0,0,0,32,0,1,21.1053,0,19.8054,0,19.8054,0,1,-1.5239e-16,1
8.73801,11.6043,21.1053,1.40147,0,0,0,0,8.73801,11.6043,21.1053,1.40147,0,0,0,0,33,0,1,21.1053,0,21.1053,0,21.1053,0,1,1.53077e-16,1
8.97213,11.8092,21.1053,1.55522,0,0,0,0,8.97213,11.8092,21.1053,1.55522,0,0,0,0,34,0,1,21.1053,0,21.1053,0,21.1053,0,1,0,1
9.1529,12.1106,21.1053,1.55981,0,0,0,0,9.1529,12.1106,21.1053,1.55981,0,0,0,0,35,0,1,21.1053,0,21.1053,0,21.1053,0,1,5.86712e-16,1
9.37138,12.5515,20.8204,1.55981,0,0,0,0,9.37138,12.5515,20.8204,1.55981,0,0,0,0,36,0,1,20.8204,0,20.0071,0,20.0071,0,1,1.41526e-16,1
9.62365,13.0624,22.7313,1.55981,0,0,0,0,9.62365,13.0624,22.7313,1.55981,0,0,0,0,37,0,1,22.7313,0,20.0071,0,20.0071,0,1,0,1
9.88103,13.421,23.9802,1.55981,0,0,0,0,9.88103,13.421,23.9802,1.55981,0,0,0,0,38,0,1,23.9802,0,23.9802,0,23.9802,0,1,3.97068e-16,1
10.0732,13.7259,23.9802,1.55981,0,0,0,0,10.0732,13.7259,23.9802,1.55981,0,0,0,0,39,0,1,23.9802,0,23.9802,0,23.9802,0,1,1.29416e-16,1
10.3334,14.1219,23.9802,1.55981,0,0,0,0,10.3334,14.1219,23.9802,1.55981,0,0,0,0,40,0,1,23.9802,0,23.9802,0,23.9802,0,1,0,1
10.6002,14.5595,24.3872,1.55981,0,0,0,0,10.6002,14.5595,24.3872,1.55981,0,0,0,0,41,0,1,24.3872,0,24.3872,0,24.3872,0,1,-1.22006e-16,1
10.8954,14.5174,24.3872,1.55981,0,0,0,0,10.8954,14.5174,24.3872,1.55981,0,0,0,0,42,0,1,24.3872,0,24.3872,0,24.3872,0,1,0,1
11.2124,14.869,24.3872,2.02424,0,0,0,0,11.2124,14.869,24.3872,2.02424,0,0,0,0,43,0,1,24.3872,0,24.3872,0,24.3872,0,1,-1.19467e-16,1
11.4683,15.02,24.3872,2.02424,0,0,0,0,11.4683,15.02,24.3872,2.02424,0,0,0,0,44,0,1,24.3872,0,24.3872,0,24.3872,0,1,1.18266e-16,1
11.6902,15.2983,24.6724,2.02424,0,0,0,0,11.6902,15.2983,24.6724,2.02424,0,0,0,0,45,0,1,24.6724,0,24.6724,0,24.6724,0,1,3.48345e-16,1
11.9679,15.383,25.3112,2.02424,0,0,0,0,11.9679,15.383,25.3112,2.02424,0,0,0,0,46,0,1,25.3112,0,24.6724,0,24.6724,0,1,0,1
12.1897,15.577,25.3112,2.02424,0,0,0,0,12.1897,15.577,25.3112,2.02424,0,0,0,0,47,0,1,25.3112,0,25.3112,0,25.3112,0,1,1.14037e-16,1
12.4392,15.8183,26.2746,2.02424,0,0,0,0,12.4392,15.8183,26.2746,2.02424,0,0,0,0,48,0,1,26.2746,0,26.2746,0,26.2746,0,1,2.24595e-16,1
12.6455,16.3062,27.3989,2.02424,0,0,0,0,12.6455,16.3062,27.3989,2.02424,0,0,0,0,49,0,1,27.3989,0,26.2746,0,26.2746,0,1,-1.08937e-16,1
12.9119,17.0669,27.235,2.02424,0,0,0,0,12.9119,17.0669,27.235,2.02424,0,0,0,0,50,0,1,27.235,0,27.235,0,27.235,0,1,-4.16328e-16,1
13.1793,17.565,27.5829,2.91718,0,0,0,0,13.1793,17.565,27.5829,2.91718,0,0,0,0,51,0,1,27.5829,0,27.235,0,27.235,0,1,-1.01131e-16,1
13.443,18.0066,27.9261,2.91718,0,0,0,0,13.443,18.0066,27.9261,2.91718,0,0,0,0,52,0,1,27.9261,0,27.235,0,27.235,0,1,0,1
13.6629,17.9777,27.235,3.43659,0,0,0,0,13.6629,17.9777,27.235,3.43659,0,0,0,0,53,0,1,27.235,0,27.235,0,27.235,0,1,-9.8809e-17,1
13.918,18.3977,27.544,3.43659,0,0,0,0,13.918,18.3977,27.544,3.43659,0,0,0,0,54,0,1,27.544,0,27.235,0,27.235,0,1,-9.65533e-17,1
14.1346,18.9708,29.0534,3.43659,0,0,0,0,14.1346,18.9708,29.0534,3.43659,0,0,0,0,55,0,1,29.0534,0,29.0534,0,29.0534,0,1,0,1
14.3713,19.0691,29.4036,3.43659,0,0,0,0,14.3713,19.0691,29.4036,3.43659,0,0,0,0,56,0,1,29.4036,0,29.4036,0,29.4036,0,1,-9.31536e-17,1
14.6198,19.5626,29.4036,3.43659,0,0,0,0,14.6198,19.5626,29.4036,3.43659,0,0,0,0,57,0,1,29.4036,0,29.4036,0,29.4036,0,1,9.08038e-17,1
14.8206,19.9533,30.397,3.43659,0,0,0,0,14.8206,19.9533,30.397,3.43659,0,0,0,0,58,0,1,30.397,0,29.4036,0,29.4036,0,1,1.78052e-16,1
15.0344,20.0798,30.6326,3.43659,0,0,0,0,15.0344,20.0798,30.6326,3.43659,0,0,0,0,59,0,1,30.6326,0,30.397,0,30.397,0,1,-1.7693e-16,1
15.2857,20.3739,30.6326,3.43659,0,0,0,0,15.2857,20.3739,30.6326,3.43659,0,0,0,0,60,0,1,30.6326,0,30.397,0,30.397,0,1,0,1
15.5353,20.5562,30.6561,3.43659,0,0,0,0,15.5353,20.5562,30.6561,3.43659,0,0,0,0,61,0,1,30.6561,0,30.397,0,30.397,0,1,0,1
15.8005,20.8563,30.6561,4.7293,0,0,0,0,15.8005,20.8563,30.6561,4.7293,0,0,0,0,62,0,1,30.6561,0,30.397,0,30.397,0,1,-2.55514e-16,1
16.0421,21.3769,32.6361,4.7293,0,0,0,0,16.0421,21.3769,32.6361,4.7293,0,0,0,0,63,0,1,32.6361,0,30.397,0,30.397,0,1,-3.32388e-16,1
16.3042,22.0408,32.6361,4.7293,0,0,0,0,16.3042,22.0408,32.6361,4.7293,0,0,0,0,64,0,1,32.6361,0,32.6361,0,32.6361,0,1,1.61188e-16,1
16.5436,21.9941,32.6361,4.7293,0,0,0,0,16.5436,21.9941,32.6361,4.7293,0,0,0,0,65,0,1,32.6361,0,32.6361,0,32.6361,0,1,6.4612e-16,1
16.8327,22.4557,32.6838,4.7293,0,0,0,0,16.8327,22.4557,32.6838,4.7293,0,0,0,0,66,0,1,32.6838,0,32.6361,0,32.6361,0,1,0,1
17.0667,22.4119,32.6838,4.7293,0,0,0,0,17.0667,22.4119,32.6838,4.7293,0,0,0,0,67,0,1,32.6838,0,31.7885,0,31.7885,0,1,0,1
17.2617,22.9189,32.6838,4.7293,0,0,0,0,17.2617,22.9189,32.6838,4.7293,0,0,0,0,68,0,1,32.6838,0,32.6838,0,32.6838,0,1,0,1
17.5502,23.3864,32.6838,4.7293,0,0,0,0,17.5502,23.3864,32.6838,4.7293,0,0,0,0,69,0,1,32.6838,0,32.6838,0,32.6838,0,1,1.51914e-16,1
17.8026,23.9686,33.5876,4.7293,0,0,0,0,17.8026,23.9686,33.5876,4.7293,0,0,0,0,70,0,1,33.5876,0,32.7779,0,32.7779,0,1,2.96448e-16,1
18.0492,24.4268,34.7045,6.85753,0,0,0,0,18.0492,24.4268,34.7045,6.85753,0,0,0,0,71,0,1,34.7045,0,33.5876,0,33.5876,0,1,-1.45444e-16,1
18.2582,24.9463,36.0805,6.21002,0,0,0,0,18.2582,24.9463,36.0805,6.21002,0,0,0,0,72,0,1,36.0805,0,36.0805,0,36.0805,0,1,-1.42414e-16,1
18.545,25.9,36.0805,6.37987,0,0,0,0,18.545,25.9,36.0805,6.37987,0,0,0,0,73,0,1,36.0805,0,36.0805,0,36.0805,0,1,0,1
18.822,26.235,36.0805,6.37987,0,0,0,0,18.822,26.235,36.0805,6.37987,0,0,0,0,74,0,1,36.0805,0,36.0805,0,36.0805,0,1,2.70837e-16,1
